cluster,rank,label,count,share,cluster_size
104,2,PC/Workstation Barebones,358,0.2558970693352395,1399
104,3,Stick PCs,31,0.02215868477483917,1399
131,1,Software Licenses/Upgrades,440,0.3160919540229885,1392
131,2,Network Switches,326,0.23419540229885058,1392
131,3,Network Media Converters,201,0.14439655172413793,1392
135,1,Notebook Parts & Accessories,1221,0.8912408759124087,1370
135,2,Chassis Components,148,0.10802919708029197,1370
135,3,Tablet Spare Parts,1,0.00072992700729927,1370
175,1,Software Licenses/Upgrades,1259,0.9243759177679882,1362
175,2,Antivirus Security Software,103,0.07562408223201175,1362
276,1,Notebooks,1356,1.0,1356
107,1,System Components,1350,0.9985207100591716,1352
107,2,Data Storage Devices,2,0.0014792899408284023,1352
158,1,PCs/Workstations,1318,0.9748520710059172,1352
158,2,System Components,14,0.010355029585798817,1352
158,3,Notebooks,10,0.0073964497041420114,1352
109,1,Data Storage Devices,1343,0.9985130111524163,1345
109,2,Computer Utilities,1,0.0007434944237918215,1345
109,3,Chassis Components,1,0.0007434944237918215,1345
110,1,Printing Media,792,0.6101694915254238,1298
110,2,Printing Supplies,407,0.3135593220338983,1298
110,3,Printing Equipment,37,0.028505392912172575,1298
205,1,PCs/Workstations,1132,0.8955696202531646,1264
205,2,All-in-One PCs/Workstations,66,0.05221518987341772,1264
205,3,Notebooks,64,0.05063291139240506,1264
148,1,Notebook Parts & Accessories,1223,0.9729514717581543,1257
148,2,Mobile Phone Spare Parts,34,0.027048528241845664,1257
119,1,Cameras & Camcorders,1161,0.9258373205741627,1254
119,2,Video Conferencing Systems,41,0.03269537480063796,1254
119,3,Video Conferencing Cameras,32,0.025518341307814992,1254
90,1,Computer Monitors,1003,0.8043303929430633,1247
90,2,TVs,143,0.11467522052927025,1247
90,3,Chassis Components,52,0.04170008019246191,1247
102,1,Printing Supplies,1236,0.9991915925626516,1237
102,2,Data Storage Mediums,1,0.0008084074373484236,1237
130,1,Server Barebones,1157,0.936084142394822,1236
130,2,PC/Workstation Barebones,44,0.03559870550161812,1236
130,3,Chassis Components,21,0.01699029126213592,1236
219,1,Data Storage Devices,1218,0.9967266775777414,1222
219,2,Chassis Components,4,0.0032733224222585926,1222
132,1,Notebook Parts & Accessories,747,0.6138044371405095,1217
132,2,Mobile Phone Spare Parts,304,0.24979457682826622,1217
132,3,Battery Chargers,94,0.07723911257189811,1217
128,1,Notebooks,1205,1.0,1205
159,1,Notebook Parts & Accessories,1149,0.9535269709543569,1205
159,2,Flat Panel Spare Parts,54,0.044813278008298756,1205
159,3,Mobile Phone Spare Parts,1,0.0008298755186721991,1205
114,1,Data Projectors,1198,0.9975020815986678,1201
114,2,Projector Accessories,1,0.0008326394671107411,1201
114,3,Mobile Device Chargers,1,0.0008326394671107411,1201
